Date,ME_R,ME_U,EXP_R,EXP_U,IMP_R,IMP_U
1992,4.755391899,4.666264687,62.32246186,9.680747126,48.25460284,10.21199673
1993,4.490700251,4.326925453,38.20459448,9.519215645,48.25460284,10.46668871
1994,4.859598854,3.941286854,27.75837904,9.864046613,23.19533361,11.12946049
1995,4.066573329,3.63848926,29.28946447,10.60551457,25.89429471,11.77666928
1996,4.036457815,3.350744012,26.07331408,10.71072187,21.84978584,11.90051951
1997,4.340747065,3.209903218,24.72998933,11.07979715,22.52721451,12.26432201
1998,2.936226042,3.017635938,31.22147855,10.48479905,24.55126255,12.2749409
1999,3.302102339,2.908393909,43.2202687,10.26828081,26.17349478,12.92474482
2000,3.553192072,2.933432016,44.06072054,10.66464335,24.03361805,14.3185381
2001,3.810322465,2.944343646,36.89342099,9.666070536,24.21731741,13.13706572
2002,4.040201724,3.249551766,35.24933157,9.13238644,24.4583426,13.01727331
2003,3.944191242,3.607287847,35.24998177,9.037519102,23.87828723,13.41306805
2004,3.546110483,3.785570066,34.41789105,9.625368067,22.16396134,14.66955244
2005,3.578058264,3.844230435,35.20306596,9.996398275,21.51018253,15.50426517
2006,3.486889246,3.808200528,33.73047544,10.65479167,21.00292642,16.21883058
2007,3.349605233,3.847044079,30.16407249,11.49790694,21.54207083,16.46102419
2008,3.3828446,4.220046469,31.30959764,12.51439847,22.07293201,17.42701165
2009,4.214810654,4.636792441,27.93811458,11.01165643,20.49696963,13.75417087
2010,3.850718551,4.665615102,29.21558677,12.37830094,21.13996351,15.80415135
2011,3.423445632,4.583975977,27.9769231,13.57379201,19.92417688,17.31137267
2012,3.685969585,4.238744607,26.88344496,13.6066085,20.2261071,17.10801903
2013,3.84623299,3.832509651,25.79296505,13.63931151,20.40039024,16.58694653
2014,4.104184364,3.506642834,27.05302069,13.64706459,20.64592236,16.57643837
2015,4.862757027,3.289106814,28.66724664,12.49904391,20.60382135,15.39099398
2016,5.398190408,3.281630451,25.71287979,11.89062242,20.55445141,14.68929997
